district,total_crimes,danger_label
종로구,10015,0.14434494457375044
중구,9919,0.1405578129314766
용산구,10736,0.17278788117874472
성동구,8798,0.09633516115034124
광진구,9803,0.13598169553039569
동대문구,10817,0.17598327350191328
중랑구,10744,0.17310347548226754
성북구,9158,0.1105369048088682
강북구,8620,0.08931318789695845
도봉구,6356,0.0
노원구,10005,0.14395045169434692
은평구,10708,0.17168330111641486
서대문구,7453,0.043275868870566885
마포구,13488,0.2813523215905953
양천구,9869,0.13858534853445895
강서구,15073,0.3438794429760543
구로구,11726,0.21184267623969388
금천구,8965,0.10292319223638013
영등포구,15467,0.3594224624245532
동작구,9014,0.10485620734545742
관악구,16539,0.4017120990966113
서초구,17238,0.4292871513669178
강남구,31705,1.0
송파구,18321,0.4720107302063198
강동구,11267,0.193735453075072
